origin_date,horizon,actual,naive,lstm,fold
2024-03-19,1,-0.64,-0.66,-0.6594378,4
2024-03-19,5,-0.67,-0.66,-0.6609262,4
2024-03-19,20,-0.48,-0.66,-0.65597266,4
2024-03-20,1,-0.64,-0.64,-0.64375496,4
2024-03-20,5,-0.69,-0.64,-0.648756,4
2024-03-20,20,-0.5,-0.64,-0.65276885,4
2024-03-21,1,-0.66,-0.64,-0.64381003,4
2024-03-21,5,-0.72,-0.64,-0.64593965,4
2024-03-21,20,-0.49,-0.64,-0.6412414,4
2024-03-22,1,-0.65,-0.66,-0.6615365,4
2024-03-22,5,-0.72,-0.66,-0.65940565,4
2024-03-22,20,-0.51,-0.66,-0.64572734,4
2024-03-25,1,-0.67,-0.65,-0.65188146,4
2024-03-25,5,-0.68,-0.65,-0.64921117,4
2024-03-25,20,-0.5,-0.65,-0.64009374,4
2024-03-26,1,-0.69,-0.67,-0.67033535,4
2024-03-26,5,-0.63,-0.67,-0.6673777,4
2024-03-26,20,-0.5,-0.67,-0.6561024,4
2024-03-27,1,-0.72,-0.69,-0.68983066,4
2024-03-27,5,-0.63,-0.69,-0.6853906,4
2024-03-27,20,-0.48,-0.69,-0.6801379,4
2024-03-28,1,-0.72,-0.72,-0.7199893,4
2024-03-28,5,-0.65,-0.72,-0.7140055,4
2024-03-28,20,-0.49,-0.72,-0.7119387,4
2024-03-29,1,-0.68,-0.72,-0.71828955,4
2024-03-29,5,-0.63,-0.72,-0.7100276,4
2024-03-29,20,-0.51,-0.72,-0.7111753,4
2024-04-01,1,-0.63,-0.68,-0.6789321,4
2024-04-01,5,-0.62,-0.68,-0.67424923,4
2024-04-01,20,-0.54,-0.68,-0.68344307,4
2024-04-02,1,-0.63,-0.63,-0.6272208,4
2024-04-02,5,-0.65,-0.63,-0.6301398,4
2024-04-02,20,-0.52,-0.63,-0.6354734,4
2024-04-03,1,-0.65,-0.63,-0.6304036,4
2024-04-03,5,-0.66,-0.63,-0.636826,4
2024-04-03,20,-0.54,-0.63,-0.64160615,4
2024-04-04,1,-0.63,-0.65,-0.650843,4
2024-04-04,5,-0.52,-0.65,-0.65422153,4
2024-04-04,20,-0.52,-0.65,-0.65231436,4
2024-04-05,1,-0.62,-0.63,-0.63179207,4
2024-04-05,5,-0.53,-0.63,-0.6326757,4
2024-04-05,20,-0.51,-0.63,-0.6377796,4
2024-04-08,1,-0.65,-0.62,-0.6214345,4
2024-04-08,5,-0.49,-0.62,-0.6302188,4
2024-04-08,20,-0.54,-0.62,-0.6474834,4
2024-04-09,1,-0.66,-0.65,-0.6509585,4
2024-04-09,5,-0.48,-0.65,-0.656968,4
2024-04-09,20,-0.58,-0.65,-0.6637894,4
2024-04-10,1,-0.52,-0.66,-0.66127527,4
2024-04-10,5,-0.5,-0.66,-0.6605365,4
2024-04-10,20,-0.56,-0.66,-0.6635081,4
2024-04-11,1,-0.53,-0.52,-0.51789576,4
2024-04-11,5,-0.49,-0.52,-0.5281075,4
2024-04-11,20,-0.58,-0.52,-0.5481256,4
2024-04-12,1,-0.49,-0.53,-0.5330819,4
2024-04-12,5,-0.51,-0.53,-0.5425565,4
2024-04-12,20,-0.6,-0.53,-0.5441425,4
2024-04-15,1,-0.48,-0.49,-0.49454126,4
2024-04-15,5,-0.5,-0.49,-0.501963,4
2024-04-15,20,-0.61,-0.49,-0.50060827,4
2024-04-16,1,-0.5,-0.48,-0.48164982,4
2024-04-16,5,-0.5,-0.48,-0.49346322,4
2024-04-16,20,-0.59,-0.48,-0.49510473,4
2024-04-17,1,-0.49,-0.5,-0.5026882,4
2024-04-17,5,-0.48,-0.5,-0.5157203,4
2024-04-17,20,-0.61,-0.5,-0.52883434,4
2024-04-18,1,-0.51,-0.49,-0.49510086,4
2024-04-18,5,-0.49,-0.49,-0.503524,4
2024-04-18,20,-0.63,-0.49,-0.52694577,4
2024-04-19,1,-0.5,-0.51,-0.5137004,4
2024-04-19,5,-0.51,-0.51,-0.52290213,4
2024-04-19,20,-0.61,-0.51,-0.55318123,4
2024-04-22,1,-0.5,-0.5,-0.50311106,4
2024-04-22,5,-0.54,-0.5,-0.5093904,4
2024-04-22,20,-0.61,-0.5,-0.53999203,4
2024-04-23,1,-0.48,-0.5,-0.5030459,4
2024-04-23,5,-0.52,-0.5,-0.5083045,4
2024-04-23,20,-0.59,-0.5,-0.53770113,4
2024-04-24,1,-0.49,-0.48,-0.48259002,4
2024-04-24,5,-0.54,-0.48,-0.48656446,4
2024-04-24,20,-0.6,-0.48,-0.5116805,4
2024-04-25,1,-0.51,-0.49,-0.49235398,4
2024-04-25,5,-0.52,-0.49,-0.4995688,4
2024-04-25,20,-0.59,-0.49,-0.5224965,4
2024-04-26,1,-0.54,-0.51,-0.51120234,4
2024-04-26,5,-0.51,-0.51,-0.51941293,4
2024-04-26,20,-0.64,-0.51,-0.54443544,4
2024-04-29,1,-0.52,-0.54,-0.5418209,4
2024-04-29,5,-0.54,-0.54,-0.5469313,4
2024-04-29,20,-0.64,-0.54,-0.57582295,4
2024-04-30,1,-0.54,-0.52,-0.52124965,4
2024-04-30,5,-0.58,-0.52,-0.5225763,4
2024-04-30,20,-0.59,-0.52,-0.5503899,4
2024-05-01,1,-0.52,-0.54,-0.5420699,4
2024-05-01,5,-0.56,-0.54,-0.5501946,4
2024-05-01,20,-0.56,-0.54,-0.59012645,4
2024-05-02,1,-0.51,-0.52,-0.5236081,4
2024-05-02,5,-0.58,-0.52,-0.5300051,4
2024-05-02,20,-0.56,-0.52,-0.5742166,4
2024-05-03,1,-0.54,-0.51,-0.5142984,4
2024-05-03,5,-0.6,-0.51,-0.51813716,4
2024-05-03,20,-0.55,-0.51,-0.5545099,4
2024-05-06,1,-0.58,-0.54,-0.54382724,4
2024-05-06,5,-0.61,-0.54,-0.5438935,4
2024-05-06,20,-0.59,-0.54,-0.55813867,4
2024-05-07,1,-0.56,-0.58,-0.58150387,4
2024-05-07,5,-0.59,-0.58,-0.5816861,4
2024-05-07,20,-0.61,-0.58,-0.59858894,4
2024-05-08,1,-0.58,-0.56,-0.5602416,4
2024-05-08,5,-0.61,-0.56,-0.56016666,4
2024-05-08,20,-0.55,-0.56,-0.58265424,4
2024-05-09,1,-0.6,-0.58,-0.57886297,4
2024-05-09,5,-0.63,-0.58,-0.5737203,4
2024-05-09,20,-0.54,-0.58,-0.5700301,4
2024-05-10,1,-0.61,-0.6,-0.5994263,4
2024-05-10,5,-0.61,-0.6,-0.595473,4
2024-05-10,20,-0.53,-0.6,-0.60442036,4
2024-05-13,1,-0.59,-0.61,-0.60739833,4
2024-05-13,5,-0.61,-0.61,-0.60347474,4
2024-05-13,20,-0.49,-0.61,-0.6128814,4
2024-05-14,1,-0.61,-0.59,-0.58817035,4
2024-05-14,5,-0.59,-0.59,-0.58264685,4
2024-05-14,20,-0.5,-0.59,-0.5883014,4
2024-05-15,1,-0.63,-0.61,-0.60900337,4
2024-05-15,5,-0.6,-0.61,-0.60158926,4
2024-05-15,20,-0.52,-0.61,-0.59294975,4
2024-05-16,1,-0.61,-0.63,-0.62961215,4
2024-05-16,5,-0.59,-0.63,-0.61971736,4
2024-05-16,20,-0.54,-0.63,-0.60996616,4
2024-05-17,1,-0.61,-0.61,-0.60791355,4
2024-05-17,5,-0.64,-0.61,-0.5994127,4
2024-05-17,20,-0.55,-0.61,-0.5926096,4
2024-05-20,1,-0.59,-0.61,-0.6077145,4
2024-05-20,5,-0.64,-0.61,-0.60235316,4
2024-05-20,20,-0.56,-0.61,-0.5936326,4
2024-05-21,1,-0.6,-0.59,-0.58825237,4
2024-05-21,5,-0.59,-0.59,-0.58517164,4
2024-05-21,20,-0.56,-0.59,-0.58045375,4
2024-05-22,1,-0.59,-0.6,-0.6017227,4
2024-05-22,5,-0.56,-0.6,-0.6014745,4
2024-05-22,20,-0.56,-0.6,-0.59897995,4
2024-05-23,1,-0.64,-0.59,-0.5900447,4
2024-05-23,5,-0.56,-0.59,-0.5874624,4
2024-05-23,20,-0.56,-0.59,-0.58333325,4
2024-05-24,1,-0.64,-0.64,-0.63916427,4
2024-05-24,5,-0.55,-0.64,-0.6367094,4
2024-05-24,20,-0.56,-0.64,-0.62836564,4
2024-05-27,1,-0.59,-0.64,-0.6383406,4
2024-05-27,5,-0.59,-0.64,-0.6317154,4
2024-05-27,20,-0.57,-0.64,-0.6326411,4
2024-05-28,1,-0.56,-0.59,-0.5880292,4
2024-05-28,5,-0.61,-0.59,-0.57990646,4
2024-05-28,20,-0.6,-0.59,-0.5779445,4
2024-05-29,1,-0.56,-0.56,-0.55769545,4
2024-05-29,5,-0.55,-0.56,-0.5543903,4
2024-05-29,20,-0.57,-0.56,-0.5431926,4
2024-05-30,1,-0.55,-0.56,-0.5584112,4
2024-05-30,5,-0.54,-0.56,-0.5605707,4
2024-05-30,20,-0.55,-0.56,-0.54890907,4
2024-05-31,1,-0.59,-0.55,-0.5517574,4
2024-05-31,5,-0.53,-0.55,-0.55188936,4
2024-05-31,20,-0.49,-0.55,-0.5438868,4
2024-06-03,1,-0.61,-0.59,-0.59263647,4
2024-06-03,5,-0.49,-0.59,-0.59203196,4
2024-06-03,20,-0.49,-0.59,-0.5869052,4
2024-06-04,1,-0.55,-0.61,-0.6115863,4
2024-06-04,5,-0.5,-0.61,-0.60471123,4
2024-06-04,20,-0.44,-0.61,-0.59634596,4
2024-06-05,1,-0.54,-0.55,-0.5506369,4
2024-06-05,5,-0.52,-0.55,-0.5408143,4
2024-06-05,20,-0.46,-0.55,-0.5263989,4
2024-06-06,1,-0.53,-0.54,-0.5415983,4
2024-06-06,5,-0.54,-0.54,-0.5357978,4
2024-06-06,20,-0.44,-0.54,-0.5133773,4
2024-06-07,1,-0.49,-0.53,-0.53577363,4
2024-06-07,5,-0.55,-0.53,-0.5313292,4
2024-06-07,20,-0.44,-0.53,-0.5269757,4
2024-06-10,1,-0.5,-0.49,-0.4902156,4
2024-06-10,5,-0.56,-0.49,-0.49042565,4
2024-06-10,20,-0.46,-0.49,-0.4861127,4
2024-06-11,1,-0.52,-0.5,-0.5010373,4
2024-06-11,5,-0.56,-0.5,-0.50354546,4
2024-06-11,20,-0.44,-0.5,-0.4950065,4
2024-06-12,1,-0.54,-0.52,-0.522696,4
2024-06-12,5,-0.56,-0.52,-0.5211106,4
2024-06-12,20,-0.45,-0.52,-0.51434356,4
2024-06-13,1,-0.55,-0.54,-0.54159564,4
2024-06-13,5,-0.56,-0.54,-0.53407705,4
2024-06-13,20,-0.42,-0.54,-0.5269803,4
2024-06-14,1,-0.56,-0.55,-0.5508209,4
2024-06-14,5,-0.56,-0.55,-0.5416201,4
2024-06-14,20,-0.42,-0.55,-0.53221023,4
2024-06-17,1,-0.56,-0.56,-0.55989987,4
2024-06-17,5,-0.57,-0.56,-0.54970366,4
2024-06-17,20,-0.39,-0.56,-0.53882974,4
2024-06-18,1,-0.56,-0.56,-0.5574215,4
2024-06-18,5,-0.6,-0.56,-0.5504759,4
2024-06-18,20,-0.42,-0.56,-0.5447801,4
2024-06-19,1,-0.56,-0.56,-0.5594227,4
2024-06-19,5,-0.57,-0.56,-0.552009,4
2024-06-19,20,-0.45,-0.56,-0.5472144,4
2024-06-20,1,-0.56,-0.56,-0.5585602,4
2024-06-20,5,-0.55,-0.56,-0.5505901,4
2024-06-20,20,-0.33,-0.56,-0.5405533,4
2024-06-21,1,-0.57,-0.56,-0.5577305,4
2024-06-21,5,-0.49,-0.56,-0.55075026,4
2024-06-21,20,-0.33,-0.56,-0.53938323,4
2024-06-24,1,-0.6,-0.57,-0.56813633,4
2024-06-24,5,-0.49,-0.57,-0.5610994,4
2024-06-24,20,-0.33,-0.57,-0.54720134,4
2024-06-25,1,-0.57,-0.6,-0.597835,4
2024-06-25,5,-0.44,-0.6,-0.5894596,4
2024-06-25,20,-0.31,-0.6,-0.57616645,4
2024-06-26,1,-0.55,-0.57,-0.56664914,4
2024-06-26,5,-0.46,-0.57,-0.55721325,4
2024-06-26,20,-0.24,-0.57,-0.5472127,4
2024-06-27,1,-0.49,-0.55,-0.5464979,4
2024-06-27,5,-0.44,-0.55,-0.54461426,4
2024-06-27,20,-0.26,-0.55,-0.5374601,4
2024-06-28,1,-0.49,-0.49,-0.48974234,4
2024-06-28,5,-0.44,-0.49,-0.4880765,4
2024-06-28,20,-0.28,-0.49,-0.47954565,4
2024-07-01,1,-0.44,-0.49,-0.48980853,4
2024-07-01,5,-0.46,-0.49,-0.49300018,4
2024-07-01,20,-0.29,-0.49,-0.48027164,4
2024-07-02,1,-0.46,-0.44,-0.43794903,4
2024-07-02,5,-0.44,-0.44,-0.44575873,4
2024-07-02,20,-0.27,-0.44,-0.44116062,4
2024-07-03,1,-0.44,-0.46,-0.4628486,4
2024-07-03,5,-0.45,-0.46,-0.46855864,4
2024-07-03,20,-0.28,-0.46,-0.45691487,4
2024-07-04,1,-0.44,-0.44,-0.44290987,4
2024-07-04,5,-0.42,-0.44,-0.44381455,4
2024-07-04,20,-0.25,-0.44,-0.43547413,4
2024-07-05,1,-0.46,-0.44,-0.44228587,4
2024-07-05,5,-0.42,-0.44,-0.4431623,4
2024-07-05,20,-0.18,-0.44,-0.4332047,4
2024-07-08,1,-0.44,-0.46,-0.46223676,4
2024-07-08,5,-0.39,-0.46,-0.45833948,4
2024-07-08,20,-0.18,-0.46,-0.437625,4
2024-07-09,1,-0.45,-0.44,-0.4402591,4
2024-07-09,5,-0.42,-0.44,-0.43509036,4
2024-07-09,20,-0.15,-0.44,-0.4191403,4
2024-07-10,1,-0.42,-0.45,-0.4500367,4
2024-07-10,5,-0.45,-0.45,-0.44709337,4
2024-07-10,20,-0.16,-0.45,-0.43173975,4
2024-07-11,1,-0.42,-0.42,-0.42020157,4
2024-07-11,5,-0.33,-0.42,-0.41667995,4
2024-07-11,20,-0.17,-0.42,-0.40733072,4
2024-07-12,1,-0.39,-0.42,-0.42204425,4
2024-07-12,5,-0.33,-0.42,-0.41755623,4
2024-07-12,20,-0.22,-0.42,-0.3996014,4
2024-07-15,1,-0.42,-0.39,-0.39077774,4
2024-07-15,5,-0.33,-0.39,-0.3854597,4
2024-07-15,20,-0.22,-0.39,-0.3661891,4
2024-07-16,1,-0.45,-0.42,-0.41940254,4
2024-07-16,5,-0.31,-0.42,-0.4165174,4
2024-07-16,20,-0.21,-0.42,-0.39160067,4
2024-07-17,1,-0.33,-0.45,-0.45129454,4
2024-07-17,5,-0.24,-0.45,-0.44723287,4
2024-07-17,20,-0.22,-0.45,-0.4330214,4
2024-07-18,1,-0.33,-0.33,-0.32924026,4
2024-07-18,5,-0.26,-0.33,-0.32031256,4
2024-07-18,20,-0.24,-0.33,-0.31019977,4
2024-07-19,1,-0.33,-0.33,-0.33083928,4
2024-07-19,5,-0.28,-0.33,-0.3290086,4
2024-07-19,20,-0.25,-0.33,-0.30547196,4
2024-07-22,1,-0.31,-0.33,-0.3292672,4
2024-07-22,5,-0.29,-0.33,-0.32739946,4
2024-07-22,20,-0.26,-0.33,-0.30509144,4
2024-07-23,1,-0.24,-0.31,-0.30979943,4
2024-07-23,5,-0.27,-0.31,-0.3074943,4
2024-07-23,20,-0.26,-0.31,-0.2869519,4
2024-07-24,1,-0.26,-0.24,-0.2404856,4
2024-07-24,5,-0.28,-0.24,-0.2368836,4
2024-07-24,20,-0.24,-0.24,-0.21180888,4
2024-07-25,1,-0.28,-0.26,-0.2611149,4
2024-07-25,5,-0.25,-0.26,-0.26084203,4
2024-07-25,20,-0.23,-0.26,-0.22889134,4
2024-07-26,1,-0.29,-0.28,-0.28616306,4
2024-07-26,5,-0.18,-0.28,-0.28686154,4
2024-07-26,20,-0.2,-0.28,-0.27751616,4
2024-07-29,1,-0.27,-0.29,-0.2928645,4
2024-07-29,5,-0.18,-0.29,-0.28629452,4
2024-07-29,20,-0.2,-0.29,-0.27912197,4
2024-07-30,1,-0.28,-0.27,-0.2708326,4
2024-07-30,5,-0.15,-0.27,-0.26192605,4
2024-07-30,20,-0.18,-0.27,-0.2542486,4
2024-07-31,1,-0.25,-0.28,-0.2805697,4
2024-07-31,5,-0.16,-0.28,-0.27219036,4
2024-07-31,20,-0.19,-0.28,-0.25909078,4
2024-08-01,1,-0.18,-0.25,-0.24992138,4
2024-08-01,5,-0.17,-0.25,-0.23851648,4
2024-08-01,20,-0.18,-0.25,-0.22293556,4
2024-08-02,1,-0.18,-0.18,-0.1817775,4
2024-08-02,5,-0.22,-0.18,-0.17309527,4
2024-08-02,20,-0.17,-0.18,-0.15116724,4
2024-08-05,1,-0.15,-0.18,-0.18429014,4
2024-08-05,5,-0.22,-0.18,-0.17887516,4
2024-08-05,20,-0.17,-0.18,-0.1541126,4
2024-08-06,1,-0.16,-0.15,-0.15114124,4
2024-08-06,5,-0.21,-0.15,-0.14302164,4
2024-08-06,20,-0.19,-0.15,-0.11421181,4
2024-08-07,1,-0.17,-0.16,-0.15817551,4
2024-08-07,5,-0.22,-0.16,-0.15221739,4
2024-08-07,20,-0.16,-0.16,-0.121886745,4
2024-08-08,1,-0.22,-0.17,-0.16696693,4
2024-08-08,5,-0.24,-0.17,-0.16073257,4
2024-08-08,20,-0.16,-0.17,-0.13616769,4
2024-08-09,1,-0.22,-0.22,-0.2171098,4
2024-08-09,5,-0.25,-0.22,-0.21211103,4
2024-08-09,20,-0.09,-0.22,-0.19116251,4
2024-08-12,1,-0.21,-0.22,-0.21774985,4
2024-08-12,5,-0.26,-0.22,-0.20818576,4
2024-08-12,20,-0.09,-0.22,-0.19373132,4
2024-08-13,1,-0.22,-0.21,-0.2085642,4
2024-08-13,5,-0.26,-0.21,-0.19839723,4
2024-08-13,20,-0.08,-0.21,-0.18163098,4
2024-08-14,1,-0.24,-0.22,-0.21922995,4
2024-08-14,5,-0.24,-0.22,-0.20892082,4
2024-08-14,20,-0.11,-0.22,-0.1885434,4
2024-08-15,1,-0.25,-0.24,-0.23837438,4
2024-08-15,5,-0.23,-0.24,-0.22697683,4
2024-08-15,20,-0.09,-0.24,-0.20581129,4
2024-08-16,1,-0.26,-0.25,-0.24627134,4
2024-08-16,5,-0.2,-0.25,-0.23918909,4
2024-08-16,20,-0.04,-0.25,-0.22781098,4
2024-08-19,1,-0.26,-0.26,-0.2576474,4
2024-08-19,5,-0.2,-0.26,-0.24887782,4
2024-08-19,20,-0.02,-0.26,-0.23733121,4
2024-08-20,1,-0.24,-0.26,-0.25756305,4
2024-08-20,5,-0.18,-0.26,-0.24627168,4
2024-08-20,20,-0.02,-0.26,-0.2321749,4
2024-08-21,1,-0.23,-0.24,-0.23894265,4
2024-08-21,5,-0.19,-0.24,-0.2279442,4
2024-08-21,20,0.0,-0.24,-0.21195796,4
2024-08-22,1,-0.2,-0.23,-0.22876836,4
2024-08-22,5,-0.18,-0.23,-0.21786986,4
2024-08-22,20,0.03,-0.23,-0.19509126,4
2024-08-23,1,-0.2,-0.2,-0.19705112,4
2024-08-23,5,-0.17,-0.2,-0.18927717,4
2024-08-23,20,0.02,-0.2,-0.16548297,4
2024-08-26,1,-0.18,-0.2,-0.19899033,4
2024-08-26,5,-0.17,-0.2,-0.1901228,4
2024-08-26,20,0.03,-0.2,-0.16096063,4
2024-08-27,1,-0.19,-0.18,-0.17787597,4
2024-08-27,5,-0.19,-0.18,-0.16767992,4
2024-08-27,20,0.05,-0.18,-0.13728952,4
2024-08-28,1,-0.18,-0.19,-0.18809083,4
2024-08-28,5,-0.16,-0.19,-0.17948656,4
2024-08-28,20,0.06,-0.19,-0.146844,4
2024-08-29,1,-0.17,-0.18,-0.17785023,4
2024-08-29,5,-0.16,-0.18,-0.16947058,4
2024-08-29,20,0.04,-0.18,-0.13994452,4
2024-08-30,1,-0.17,-0.17,-0.16790864,4
2024-08-30,5,-0.09,-0.17,-0.1614185,4
2024-08-30,20,0.04,-0.17,-0.13357233,4
2024-09-02,1,-0.19,-0.17,-0.16823906,4
2024-09-02,5,-0.09,-0.17,-0.16496429,4
2024-09-02,20,0.04,-0.17,-0.14184445,4
2024-09-03,1,-0.16,-0.19,-0.18899432,4
2024-09-03,5,-0.08,-0.19,-0.18486048,4
2024-09-03,20,0.01,-0.19,-0.16346307,4
2024-09-04,1,-0.16,-0.16,-0.16048428,4
2024-09-04,5,-0.11,-0.16,-0.15428734,4
2024-09-04,20,0.04,-0.16,-0.13561995,4
2024-09-05,1,-0.09,-0.16,-0.16116196,4
2024-09-05,5,-0.09,-0.16,-0.1535473,4
2024-09-05,20,0.04,-0.16,-0.12763138,4
2024-09-06,1,-0.09,-0.09,-0.095195435,4
2024-09-06,5,-0.04,-0.09,-0.08872824,4
2024-09-06,20,-0.02,-0.09,-0.082493715,4
2024-09-09,1,-0.08,-0.09,-0.09350326,4
2024-09-09,5,-0.02,-0.09,-0.08903102,4
2024-09-09,20,-0.04,-0.09,-0.06713998,4
2024-09-10,1,-0.11,-0.08,-0.081454426,4
2024-09-10,5,-0.02,-0.08,-0.075280696,4
2024-09-10,20,-0.03,-0.08,-0.05358316,4
