horizon_days,response_variable,shock_variable,proportion
9,yield_spread_10y_2y,yield_spread_10y_2y,0.9944448960285727
9,yield_spread_10y_2y,overnight_rate,0.001791448085489371
9,yield_spread_10y_2y,us_treasury_10y,0.001989637328051927
9,yield_spread_10y_2y,fed_funds_rate,0.0005506569491472598
9,yield_spread_10y_2y,cpi_yoy,0.00014843421595943463
9,yield_spread_10y_2y,usdcad,0.0010749273927792877
9,overnight_rate,yield_spread_10y_2y,0.01293361618567024
9,overnight_rate,overnight_rate,0.968678829329913
9,overnight_rate,us_treasury_10y,0.007674371758894132
9,overnight_rate,fed_funds_rate,0.004326738970157105
9,overnight_rate,cpi_yoy,0.00022413080243804796
9,overnight_rate,usdcad,0.00616231295292761
9,us_treasury_10y,yield_spread_10y_2y,0.15947907950083848
9,us_treasury_10y,overnight_rate,0.007615161286136578
9,us_treasury_10y,us_treasury_10y,0.832008493783255
9,us_treasury_10y,fed_funds_rate,0.00038609844977446575
9,us_treasury_10y,cpi_yoy,0.00035413907068396254
9,us_treasury_10y,usdcad,0.0001570279093114337
9,fed_funds_rate,yield_spread_10y_2y,0.0021747415611072457
9,fed_funds_rate,overnight_rate,0.04102941677661678
9,fed_funds_rate,us_treasury_10y,0.00578627274236565
9,fed_funds_rate,fed_funds_rate,0.9495618554523697
9,fed_funds_rate,cpi_yoy,0.0010346923409921167
9,fed_funds_rate,usdcad,0.00041302112654851116
9,cpi_yoy,yield_spread_10y_2y,0.0010639088312294008
9,cpi_yoy,overnight_rate,0.0014691240392291187
9,cpi_yoy,us_treasury_10y,0.0003234886406344628
9,cpi_yoy,fed_funds_rate,0.003046184750872897
9,cpi_yoy,cpi_yoy,0.9933978016056562
9,cpi_yoy,usdcad,0.000699492132377997
9,usdcad,yield_spread_10y_2y,0.003909291753860916
9,usdcad,overnight_rate,0.02109828033866075
9,usdcad,us_treasury_10y,0.004659371112162323
9,usdcad,fed_funds_rate,0.003035334782839834
9,usdcad,cpi_yoy,0.0029224656224373442
9,usdcad,usdcad,0.9643752563900388
10,yield_spread_10y_2y,yield_spread_10y_2y,0.9938579051597985
10,yield_spread_10y_2y,overnight_rate,0.002190114781407725
10,yield_spread_10y_2y,us_treasury_10y,0.0018413279146919476
10,yield_spread_10y_2y,fed_funds_rate,0.0008251932610639435
10,yield_spread_10y_2y,cpi_yoy,0.00018513064884580977
10,yield_spread_10y_2y,usdcad,0.0011003282341920278
10,overnight_rate,yield_spread_10y_2y,0.015110731016075038
10,overnight_rate,overnight_rate,0.9641464955809533
10,overnight_rate,us_treasury_10y,0.009000599362881495
10,overnight_rate,fed_funds_rate,0.004082999783311268
10,overnight_rate,cpi_yoy,0.00027519058817608116
10,overnight_rate,usdcad,0.007383983668602695
10,us_treasury_10y,yield_spread_10y_2y,0.15986433930414595
10,us_treasury_10y,overnight_rate,0.0074795985583336385
10,us_treasury_10y,us_treasury_10y,0.8316968556559724
10,us_treasury_10y,fed_funds_rate,0.0003965432400139671
10,us_treasury_10y,cpi_yoy,0.0003223216685782424
10,us_treasury_10y,usdcad,0.0002403415729557661
